example_id,lambda_value,oracle_action,oracle_correct,oracle_total_tokens,oracle_utility,cost_normalizer
gsm8k-test-0,0.0,STOP,0,80,0.0,241.3
gsm8k-test-0,0.05,STOP,0,80,-0.016576875259013676,241.3
gsm8k-test-0,0.1,STOP,0,80,-0.03315375051802735,241.3
gsm8k-test-0,0.2,STOP,0,80,-0.0663075010360547,241.3
gsm8k-test-1,0.0,STOP,0,50,0.0,241.3
gsm8k-test-1,0.05,STOP,0,50,-0.010360547036883548,241.3
gsm8k-test-1,0.1,STOP,0,50,-0.020721094073767096,241.3
gsm8k-test-1,0.2,STOP,0,50,-0.04144218814753419,241.3
gsm8k-test-2,0.0,STOP,0,63,0.0,241.3
gsm8k-test-2,0.05,STOP,0,63,-0.013054289266473269,241.3
gsm8k-test-2,0.1,STOP,0,63,-0.026108578532946538,241.3
gsm8k-test-2,0.2,STOP,0,63,-0.052217157065893076,241.3
gsm8k-test-3,0.0,STOP,0,53,0.0,241.3
gsm8k-test-3,0.05,STOP,0,53,-0.01098217985909656,241.3
gsm8k-test-3,0.1,STOP,0,53,-0.02196435971819312,241.3
gsm8k-test-3,0.2,STOP,0,53,-0.04392871943638624,241.3
gsm8k-test-4,0.0,STOP,0,115,0.0,241.3
gsm8k-test-4,0.05,STOP,0,115,-0.02382925818483216,241.3
gsm8k-test-4,0.1,STOP,0,115,-0.04765851636966432,241.3
gsm8k-test-4,0.2,STOP,0,115,-0.09531703273932864,241.3
gsm8k-test-5,0.0,STOP,0,69,0.0,241.3
gsm8k-test-5,0.05,STOP,0,69,-0.014297554910899297,241.3
gsm8k-test-5,0.1,STOP,0,69,-0.028595109821798595,241.3
gsm8k-test-5,0.2,STOP,0,69,-0.05719021964359719,241.3
gsm8k-test-6,0.0,STOP,0,60,0.0,241.3
gsm8k-test-6,0.05,STOP,0,60,-0.012432656444260257,241.3
gsm8k-test-6,0.1,STOP,0,60,-0.024865312888520515,241.3
gsm8k-test-6,0.2,STOP,0,60,-0.04973062577704103,241.3
gsm8k-test-7,0.0,STOP,0,79,0.0,241.3
gsm8k-test-7,0.05,STOP,0,79,-0.016369664318276005,241.3
gsm8k-test-7,0.1,STOP,0,79,-0.03273932863655201,241.3
gsm8k-test-7,0.2,STOP,0,79,-0.06547865727310402,241.3
gsm8k-test-8,0.0,STOP,0,110,0.0,241.3
gsm8k-test-8,0.05,STOP,0,110,-0.022793203481143803,241.3
gsm8k-test-8,0.1,STOP,0,110,-0.04558640696228761,241.3
gsm8k-test-8,0.2,STOP,0,110,-0.09117281392457521,241.3
gsm8k-test-9,0.0,STOP,0,72,0.0,241.3
gsm8k-test-9,0.05,STOP,0,72,-0.014919187733112307,241.3
gsm8k-test-9,0.1,STOP,0,72,-0.029838375466224615,241.3
gsm8k-test-9,0.2,STOP,0,72,-0.05967675093244923,241.3
